Dataset	System	MicroF1	MacroF1	MicroPrecision	MacroPrecision	MicroRecall	MacroRecall	QALD-F1	Timestamp	ExperimentURI
QALD9Plus-MT_de-davlan_ner-mag_el-nllb_mt	NIFWS_Qanary_3(http://porque.cs.upb.de:40123/qanary_3/gerbil)	0.003474126897	0.2624127911	0.002677187544	0.2705652756	0.004946628482	0.2901183815	0.4368509757	2022-09-30 03:29:37	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209300005
QALD9Plus-MT_de-davlan_ner-mag_el-nllb_mt	NIFWS_Qanary_4(http://porque.cs.upb.de:40123/qanary_4/gerbil)	0.004091772614	0.268117055	0.004663557628	0.2705964384	0.003644884145	0.2940540541	0.4461229932	2022-09-30 03:41:39	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209300006
QALD9Plus-MT_de-davlan_ner-mag_el-nllb_mt	NIFWS_Qanary_5(http://porque.cs.upb.de:40123/qanary_5/gerbil)	0.001535761299	0.2267141005	0.001327014218	0.2266906171	0.001822442072	0.2403333333	0.3793648871	2022-09-30 04:02:42	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209300007
QALD9PlusTrain-MT_de-babelscape_ner-mgenre_el-mbart_mt	NIFWS_QAnswer(http://porque.cs.upb.de:40123/qanswer/gerbil)	0.1200624548	0.2809413671	0.1086873972	0.2837039843	0.1340968246	0.3299445993	0.3681578798	2022-09-30 04:15:46	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209300008
QALD9PlusTrain-MT_de-babelscape_ner-mgenre_el-mbart_mt	NIFWS_Qanary_1(http://porque.cs.upb.de:40123/qanary_1/gerbil)	0.009823484267	0.1930799823	0.007778790641	0.1960707921	0.0133263925	0.2484948849	0.3835106011	2022-09-30 05:08:55	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209300009
QALD9PlusTrain-MT_de-babelscape_ner-mgenre_el-mbart_mt	NIFWS_Qanary_2(http://porque.cs.upb.de:40123/qanary_2/gerbil)	0.001184639179	0.1378613929	0.001610161911	0.1378278214	9.37E-04	0.1436702937	0.2498002946	2022-09-30 06:38:07	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209300010
QALD9PlusTrain-MT_de-babelscape_ner-mgenre_el-mbart_mt	NIFWS_Qanary_3(http://porque.cs.upb.de:40123/qanary_3/gerbil)	0.008576806613	0.1855623777	0.006255222633	0.1886265611	0.01363872983	0.2319126609	0.3645873859	2022-09-30 06:38:08	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209300011
QALD9PlusTrain-MT_de-babelscape_ner-mgenre_el-mbart_mt	NIFWS_Qanary_4(http://porque.cs.upb.de:40123/qanary_4/gerbil)	0.01083649768	0.1745364103	0.009448940867	0.1741986593	0.01270171786	0.2038033828	0.3329454139	2022-09-30 08:09:22	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209300012
QALD9PlusTrain-MT_de-babelscape_ner-mgenre_el-mbart_mt	NIFWS_Qanary_5(http://porque.cs.upb.de:40123/qanary_5/gerbil)	0.008204438467	0.1648430806	0.006059101068	0.1647198004	0.01270171786	0.20093688	0.3268073119	2022-09-30 08:26:25	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209300013
QALD9Plus-MT_fr-spacy_ner-mgenre_el-libre_mt	NIFWS_QAnswer(http://porque.cs.upb.de:40123/qanswer/gerbil)	0.07533843437	0.2108146251	0.04429065744	0.2037787325	0.2519685039	0.244499179	0.2626786606	2022-09-30 09:41:33	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209300014
QALD9Plus-MT_fr-spacy_ner-mgenre_el-libre_mt	NIFWS_Qanary_1(http://porque.cs.upb.de:40123/qanary_1/gerbil)	0.01008161306	0.4028564291	0.00536809816	0.4015164542	0.08267716535	0.4740229885	0.6064404176	2022-09-30 10:04:36	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209300015
QALD9Plus-MT_fr-spacy_ner-mgenre_el-libre_mt	NIFWS_Qanary_2(http://porque.cs.upb.de:40123/qanary_2/gerbil)	0.0078125	0.4	0.5	0.4	0.003937007874	0.4	0.5647058824	2022-09-30 10:15:38	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209300016
QALD9Plus-MT_fr-spacy_ner-mgenre_el-libre_mt	NIFWS_Qanary_3(http://porque.cs.upb.de:40123/qanary_3/gerbil)	0.0017809439	0.3661538462	0.001004016064	0.4	0.007874015748	0.3633333333	0.5209350649	2022-09-30 10:15:38	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209300017
